127.0.0.1 - - [10/Jun/2017:06:53:59 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Jun/2017:06:54:00 -0700] "GET /LBARetailer/pages/index.jsp HTTP/1.1" 200 15944
0:0:0:0:0:0:0:1 - - [10/Jun/2017:06:54:01 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Jun/2017:06:54:01 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:06:54:29 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location= HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:06:54:29 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:06:54:29 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:06:54:30 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:06:57:03 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4576539,73.8317978 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:06:57:04 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:06:57:04 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:06:57:05 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:05:12 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4574613,73.8314378 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:07:05:12 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:07:05:13 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:07:05:14 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:06:25 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4564382,73.8343709 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:07:06:25 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4564382,73.8343709 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:07:06:25 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4564382,73.8343709 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:07:06:25 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:07:06:26 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:07:06:26 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:07:06:26 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:07:06:26 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:06:28 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:06:28 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:06:28 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:06:32 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4564382,73.8343709 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:07:06:32 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:07:06:32 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:07:06:32 -0700] "GET /favicon.ico HTTP/1.1" 404 973
192.168.43.1 - - [10/Jun/2017:07:06:32 -0700] "GET /LBARetailer/pages/index.jsp?imei=352929083989339&location=18.4564382,73.8343709 HTTP/1.1" 200 15974
192.168.43.1 - - [10/Jun/2017:07:06:33 -0700] "GET /LBARetailer/theme/css/font.css HTTP/1.1" 404 1011
192.168.43.1 - - [10/Jun/2017:07:06:33 -0700] "GET /LBARetailer/theme/images/background.jpg HTTP/1.1" 404 1029
192.168.43.1 - - [10/Jun/2017:07:06:33 -0700] "GET /favicon.ico HTTP/1.1" 404 973
